Name,Surname,Subjects,Grades,Average
Edwin,Lewis,"Хімія, Фізика, Математика, Англійська","94.8, 96.6, 87.6, 87.3",91.58
Lee,Long,"Хімія, Математика, Інформатика, Англійська, Фізика","87.8, 89.2, 92.4, 95.8, 88.0",90.64
Richard,Smith,"Інформатика, Біологія, Англійська","94.5, 81.7, 92.6",89.6
Michael,Bishop,"Фізика, Біологія, Інформатика","99.3, 81.4, 87.7",89.47
Terrence,Carter,"Хімія, Англійська, Біологія","93.8, 71.0, 95.2",86.67
Morgan,Butler,"Англійська, Інформатика, Математика, Біологія","86.8, 91.7, 61.9, 98.9",84.83
Derrick,Bradley,"Інформатика, Хімія, Математика, Англійська","93.9, 98.4, 63.9, 79.9",84.03
Yesenia,Mahoney,"Хімія, Фізика, Англійська, Біологія, Інформатика","91.5, 93.1, 95.1, 66.6, 70.8",83.42
Tara,Brown,"Математика, Англійська, Інформатика, Хімія","82.9, 88.1, 84.1, 78.4",83.38
Steven,Sanchez,"Хімія, Біологія, Математика, Фізика","96.9, 72.6, 95.5, 67.6",83.15
Shawn,Harris,"Інформатика, Англійська, Математика","76.2, 77.3, 94.1",82.53
Isaac,Mercer,"Математика, Інформатика, Біологія, Хімія","60.3, 78.5, 99.1, 90.9",82.2
Sharon,Carroll,"Інформатика, Математика, Біологія","68.6, 85.3, 92.5",82.13
David,Harris,"Англійська, Математика, Хімія, Біологія, Фізика","75.7, 77.8, 92.2, 88.5, 75.0",81.84
Alexandra,Cabrera,"Хімія, Англійська, Математика, Біологія","95.8, 68.8, 98.6, 63.1",81.58
Carly,Smith,"Хімія, Англійська, Математика, Фізика","95.7, 72.7, 89.0, 68.8",81.55
Natalie,Martinez,"Хімія, Фізика, Англійська, Біологія","63.9, 77.0, 93.5, 90.8",81.3
Dana,Lopez,"Фізика, Біологія, Інформатика, Математика","95.4, 91.0, 67.9, 69.5",80.95
Brian,Holt,"Англійська, Хімія, Математика, Інформатика, Біологія","69.9, 67.6, 81.9, 91.7, 92.9",80.8
Regina,Meza,"Англійська, Математика, Біологія, Інформатика","67.4, 86.9, 77.8, 85.1",79.3
Rita,King,"Хімія, Фізика, Математика, Англійська","95.3, 79.1, 66.0, 74.7",78.77
Michael,Morris,"Біологія, Англійська, Фізика, Хімія","82.6, 75.7, 79.1, 62.2",74.9
Preston,Nash,"Біологія, Математика, Інформатика","62.1, 79.8, 77.4",73.1
David,Smith,"Фізика, Біологія, Англійська, Хімія","81.7, 64.3, 79.9, 60.8",71.67
Thomas,Rodriguez,"Фізика, Біологія, Англійська","68.6, 65.6, 72.3",68.83
